LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
-0.302242,-0.00907508,-0.0424517,0.275036
0.134452,-0.034553,0.0675954,0.0540691
-0.173483,-0.462409,-1.09853,-0.852246
-0.642546,-0.0249494,-0.098384,0.277074
-0.126159,-0.216055,-0.0155007,-0.205491
0.615434,-0.12,0.160656,-0.131942
-0.928786,-0.490416,-1.05779,-0.161718
-0.246984,-0.228091,0.0720825,0.279703
-0.510548,0.0240339,0.189735,-1.87244
0.298403,-0.0399841,0.0741847,-1.33341
-0.331619,-0.585856,-1.29096,-0.218423
-0.358322,-0.157316,-0.190411,-0.0240654
-0.985918,0.0478864,0.149251,-0.460817
-0.347162,-0.442384,-0.391425,-2.00468
